Year,OFG_Bank_NCO,Popular_NCO,OFG_Bank_StockPrice,Popular_StockPrice
2005,0.49,0.54, 1.00 , 1.00 
2006,0.28,0.65, 1.05 , 0.85 
2007,0.37,1.01, 1.08 , 0.50 
2008,0.39,2.27, 0.49 , 0.24 
2009,0.57,4.14, 0.87 , 0.11 
2010,0.47,4.46, 1.01 , 0.15 
2011,0.55,2.17, 0.98 , 0.07 
2012,0.61,1.99, 1.08 , 0.10 
2013,1.04,1.33, 1.40 , 0.14 
2014,0.80,1.10, 1.35 , 0.16 
2015,0.95,1.17, 0.59 , 0.13 
2016,2.33,0.75, 1.06 , 0.21 
2017,1.18,1.03, 0.76 , 0.17 
2018,1.18,1.13, 1.33 , 0.22 
2019,1.66,0.96, 1.91 , 0.28 
2020,1.41,0.66, 1.50 , 0.27 
2021,0.76,0.07, 2.15 , 0.39 
2022,0.42,0.19, 2.23 , 0.31 
2023,0.73,0.38, 3.03 , 0.39 